time,step_frequency
2025-07-15 22:42:53.450637,105
2025-07-15 22:42:55.460948,110
2025-07-15 22:42:57.469766,115
2025-07-15 22:42:59.477164,120
2025-07-15 22:43:01.484553,125
2025-07-15 22:43:03.493369,130
2025-07-15 22:43:05.499806,134
2025-07-15 22:43:07.508409,138
2025-07-15 22:43:09.513420,141
2025-07-15 22:43:11.518334,141
2025-07-15 22:43:13.524713,141
2025-07-15 22:43:15.531213,141
2025-07-15 22:43:17.537422,141
2025-07-15 22:43:19.543652,141
2025-07-15 22:43:21.549992,141
2025-07-15 22:43:23.556376,142
2025-07-15 22:43:25.562766,142
2025-07-15 22:43:27.569111,142
2025-07-15 22:43:29.575804,142
2025-07-15 22:43:31.582340,142
2025-07-15 22:43:33.591065,143
2025-07-15 22:43:35.599220,143
2025-07-15 22:43:37.607213,143
2025-07-15 22:43:39.615308,143
2025-07-15 22:43:41.624391,143
2025-07-15 22:43:43.633494,143
2025-07-15 22:43:45.641223,143
2025-07-15 22:43:47.648235,143
2025-07-15 22:43:49.657483,143
2025-07-15 22:43:51.664362,143
2025-07-15 22:43:53.671207,143
2025-07-15 22:43:55.677895,143
2025-07-15 22:43:57.687138,143
2025-07-15 22:43:59.696014,143
2025-07-15 22:44:01.705196,143
2025-07-15 22:44:03.714178,142
2025-07-15 22:44:05.723582,142
2025-07-15 22:44:07.731997,142
2025-07-15 22:44:09.740969,143
2025-07-15 22:44:11.748680,143
2025-07-15 22:44:13.756362,143
2025-07-15 22:44:15.764324,143
2025-07-15 22:44:17.772447,143
2025-07-15 22:44:19.780100,142
2025-07-15 22:44:21.789697,142
2025-07-15 22:44:23.796677,142
2025-07-15 22:44:25.805083,142
2025-07-15 22:44:27.813606,142
2025-07-15 22:44:29.820934,141
2025-07-15 22:44:31.827257,141
2025-07-15 22:44:33.836081,141
2025-07-15 22:44:35.844187,141
2025-07-15 22:44:37.850922,141
2025-07-15 22:44:39.857717,141
2025-07-15 22:44:41.866609,141
2025-07-15 22:44:43.875784,141
2025-07-15 22:44:45.885117,142
2025-07-15 22:44:47.891326,143
2025-07-15 22:44:49.900443,138
2025-07-15 22:44:51.908537,133
2025-07-15 22:44:53.916177,128
2025-07-15 22:44:55.922867,128
2025-07-15 22:44:57.929454,125
2025-07-15 22:44:59.936243,121
2025-07-15 22:45:01.942750,116
2025-07-15 22:45:03.951761,111
2025-07-15 22:45:05.961002,106
2025-07-15 22:45:07.969518,101
2025-07-15 22:45:09.977890,98
2025-07-15 22:45:11.984836,93
2025-07-15 22:45:13.993149,90
2025-07-15 22:45:16.000702,90
2025-07-15 22:45:18.007302,85
2025-07-15 22:45:20.013656,82
2025-07-15 22:45:22.021737,79
2025-07-15 22:45:24.030648,76
2025-07-15 22:45:26.039424,76
2025-07-15 22:45:28.048217,76
2025-07-15 22:45:30.056960,76
2025-07-15 22:45:32.066696,71
2025-07-15 22:45:34.073886,66
2025-07-15 22:45:36.083775,66
2025-07-15 22:45:38.092007,66
2025-07-15 22:45:40.100268,66
2025-07-15 22:45:42.108576,65
2025-07-15 22:45:44.115450,64
2025-07-15 22:45:46.121910,69
2025-07-15 22:45:48.130856,74
2025-07-15 22:45:50.139705,79
2025-07-15 22:45:52.147555,79
2025-07-15 22:45:54.155990,82
2025-07-15 22:45:56.163158,86
2025-07-15 22:45:58.170351,91
2025-07-15 22:46:00.177697,96
2025-07-15 22:46:02.187310,100
2025-07-15 22:46:04.195597,105
2025-07-15 22:46:06.204391,108
2025-07-15 22:46:08.212210,108
2025-07-15 22:46:10.218636,106
2025-07-15 22:46:12.225179,107
2025-07-15 22:46:14.231584,107
2025-07-15 22:46:16.238114,111
2025-07-15 22:46:18.247111,115
2025-07-15 22:46:20.256005,118
2025-07-15 22:46:22.264108,118
2025-07-15 22:46:24.272135,118
2025-07-15 22:46:26.280398,118
2025-07-15 22:46:28.289778,123
2025-07-15 22:46:30.295990,128
2025-07-15 22:46:32.302136,129
2025-07-15 22:46:34.308602,129
2025-07-15 22:46:36.313650,124
2025-07-15 22:46:38.318525,124
2025-07-15 22:46:40.324858,119
2025-07-15 22:46:42.331561,120
2025-07-15 22:46:44.338233,121
2025-07-15 22:46:46.344586,122
2025-07-15 22:46:48.353848,123
2025-07-15 22:46:50.363172,124
2025-07-15 22:46:52.372428,125
2025-07-15 22:46:54.381392,126
2025-07-15 22:46:56.389416,127
2025-07-15 22:46:58.397749,128
2025-07-15 22:47:00.405374,129
2025-07-15 22:47:02.413501,130
2025-07-15 22:47:04.421756,136
2025-07-15 22:47:06.428761,142
2025-07-15 22:47:08.435274,142
2025-07-15 22:47:10.441864,148
2025-07-15 22:47:12.448245,148
2025-07-15 22:47:14.455656,148
2025-07-15 22:47:16.462401,149
2025-07-15 22:47:18.469127,150
2025-07-15 22:47:20.475669,151
2025-07-15 22:47:22.482125,152
2025-07-15 22:47:24.488875,147
2025-07-15 22:47:26.495160,148
2025-07-15 22:47:28.503681,147
2025-07-15 22:47:30.510178,147
2025-07-15 22:47:32.517038,147
2025-07-15 22:47:34.523591,142
2025-07-15 22:47:36.530308,142
2025-07-15 22:47:38.536920,136
2025-07-15 22:47:40.545268,130
2025-07-15 22:47:42.551751,124
2025-07-15 22:47:44.558223,118
2025-07-15 22:47:46.564661,112
2025-07-15 22:47:48.571094,106
2025-07-15 22:47:50.578516,100
2025-07-15 22:47:52.587958,94
2025-07-15 22:47:54.596608,88
2025-07-15 22:47:56.604306,82
2025-07-15 22:47:58.611976,76
2025-07-15 22:48:00.620153,70
2025-07-15 22:48:02.628168,64
2025-07-15 22:48:04.636389,58
2025-07-15 22:48:06.646173,52
2025-07-15 22:48:08.655450,46
2025-07-15 22:48:10.663919,40
2025-07-15 22:48:12.672547,34
2025-07-15 22:48:14.679386,29
2025-07-15 22:48:16.685855,25
2025-07-15 22:48:18.692381,24
2025-07-15 22:48:20.701369,26
2025-07-15 22:48:22.710377,21
2025-07-15 22:48:24.716665,18
2025-07-15 22:48:26.723324,15
2025-07-15 22:48:28.729667,17
2025-07-15 22:48:30.736222,17
2025-07-15 22:48:32.742523,17
2025-07-15 22:48:34.751346,19
2025-07-15 22:48:36.760709,19
2025-07-15 22:48:38.767517,19
2025-07-15 22:48:40.773956,20
2025-07-15 22:48:42.780358,25
2025-07-15 22:48:44.786598,25
2025-07-15 22:48:46.796181,30
2025-07-15 22:48:48.804860,35
2025-07-15 22:48:50.813389,40
2025-07-15 22:48:52.822262,45
2025-07-15 22:48:54.831558,50
2025-07-15 22:48:56.839930,55
2025-07-15 22:48:58.849703,55
2025-07-15 22:49:00.860068,55
2025-07-15 22:49:02.868827,55
2025-07-15 22:49:04.877708,55
2025-07-15 22:49:06.886650,55
2025-07-15 22:49:08.896420,57
2025-07-15 22:49:10.905799,56
2025-07-15 22:49:12.914252,54
2025-07-15 22:49:14.923541,49
2025-07-15 22:49:16.931457,47
2025-07-15 22:49:18.939815,47
2025-07-15 22:49:20.948169,47
2025-07-15 22:49:22.956483,45
2025-07-15 22:49:24.965043,44
2025-07-15 22:49:26.973142,46
2025-07-15 22:49:28.980302,48
2025-07-15 22:49:30.988392,48
2025-07-15 22:49:32.997239,48
2025-07-15 22:49:35.003785,49
2025-07-15 22:49:37.009375,50
2025-07-15 22:49:39.015932,47
2025-07-15 22:49:41.023933,47
2025-07-15 22:49:43.032320,42
2025-07-15 22:49:45.040654,37
2025-07-15 22:49:47.048994,32
2025-07-15 22:49:49.056956,27
2025-07-15 22:49:51.065298,22
2025-07-15 22:49:53.075902,17
2025-07-15 22:49:55.085748,17
2025-07-15 22:49:57.094369,17
2025-07-15 22:49:59.103030,17
2025-07-15 22:50:01.110305,17
2025-07-15 22:50:03.119295,17
2025-07-15 22:50:05.127240,15
2025-07-15 22:50:07.135076,15
2025-07-15 22:50:09.141939,15
2025-07-15 22:50:11.150978,15
2025-07-15 22:50:13.159830,15
2025-07-15 22:50:15.168457,14
2025-07-15 22:50:17.177843,12
2025-07-15 22:50:19.184749,12
2025-07-15 22:50:21.191290,11
2025-07-15 22:50:23.197811,9
2025-07-15 22:50:25.204365,7
2025-07-15 22:50:27.211193,5
2025-07-15 22:50:29.217991,5
2025-07-15 22:50:31.224485,4
2025-07-15 22:50:33.231323,2
2025-07-15 22:50:35.237868,0
2025-07-15 22:50:37.247063,0
2025-07-15 22:50:39.256435,0
2025-07-15 22:50:41.265333,2
2025-07-15 22:50:43.273214,5
2025-07-15 22:50:45.281084,8
2025-07-15 22:50:47.289501,10
2025-07-15 22:50:49.296174,13
2025-07-15 22:50:51.302612,16
2025-07-15 22:50:53.309047,20
2025-07-15 22:50:55.315053,22
2025-07-15 22:50:57.321550,24
2025-07-15 22:50:59.326476,27
2025-07-15 22:51:01.331609,29
2025-07-15 22:51:03.336737,32
2025-07-15 22:51:05.341904,34
2025-07-15 22:51:07.346851,37
2025-07-15 22:51:09.352996,40
2025-07-15 22:51:11.361739,42
2025-07-15 22:51:13.369559,45
2025-07-15 22:51:15.377841,47
2025-07-15 22:51:17.384870,50
2025-07-15 22:51:19.391423,53
2025-07-15 22:51:21.397917,56
2025-07-15 22:51:23.404431,59
2025-07-15 22:51:25.410743,62
2025-07-15 22:51:27.419730,65
2025-07-15 22:51:29.428621,68
2025-07-15 22:51:31.438177,71
2025-07-15 22:51:33.446361,74
2025-07-15 22:51:35.456924,76
2025-07-15 22:51:37.465817,77
2025-07-15 22:51:39.475495,78
2025-07-15 22:51:41.484116,77
2025-07-15 22:51:43.495255,77
2025-07-15 22:51:45.506735,77
2025-07-15 22:51:47.515086,77
2025-07-15 22:51:49.524590,75
2025-07-15 22:51:51.533443,75
2025-07-15 22:51:53.541481,76
2025-07-15 22:51:55.548686,75
2025-07-15 22:51:57.556440,76
2025-07-15 22:51:59.563264,76
2025-07-15 22:52:01.570464,77
2025-07-15 22:52:03.579149,76
2025-07-15 22:52:05.585694,75
2025-07-15 22:52:07.593389,76
2025-07-15 22:52:09.602608,76
2025-07-15 22:52:11.611790,76
2025-07-15 22:52:13.620844,76
2025-07-15 22:52:15.629928,76
2025-07-15 22:52:17.639215,76
2025-07-15 22:52:19.646630,76
2025-07-15 22:52:21.656514,76
2025-07-15 22:52:23.665749,75
2025-07-15 22:52:25.675098,74
2025-07-15 22:52:27.683931,73
2025-07-15 22:52:29.692777,72
2025-07-15 22:52:31.702052,73
2025-07-15 22:52:33.710481,73
2025-07-15 22:52:35.719459,71
2025-07-15 22:52:37.726119,72
2025-07-15 22:52:39.732761,73
2025-07-15 22:52:41.739730,72
2025-07-15 22:52:43.746511,71
2025-07-15 22:52:45.753417,72
2025-07-15 22:52:47.760116,73
2025-07-15 22:52:49.766903,73
2025-07-15 22:52:51.775729,74
2025-07-15 22:52:53.782214,74
2025-07-15 22:52:55.790229,73
2025-07-15 22:52:57.796786,73
2025-07-15 22:52:59.803360,73
2025-07-15 22:53:01.810032,73
2025-07-15 22:53:03.816845,73
2025-07-15 22:53:05.825981,73
2025-07-15 22:53:07.835669,74
2025-07-15 22:53:09.843931,73
2025-07-15 22:53:11.851884,73
2025-07-15 22:53:13.860974,73
2025-07-15 22:53:15.869852,72
2025-07-15 22:53:17.878093,72
2025-07-15 22:53:19.884893,72
2025-07-15 22:53:21.891632,72
2025-07-15 22:53:23.898143,73
2025-07-15 22:53:25.905133,73
2025-07-15 22:53:27.911552,72
2025-07-15 22:53:29.918067,72
2025-07-15 22:53:31.924382,72
2025-07-15 22:53:33.930859,71
2025-07-15 22:53:35.937866,71
2025-07-15 22:53:37.946954,71
2025-07-15 22:53:39.957159,71
2025-07-15 22:53:41.964668,71
2025-07-15 22:53:43.974821,70
2025-07-15 22:53:45.985176,69
2025-07-15 22:53:47.992175,70
2025-07-15 22:53:49.999161,69
2025-07-15 22:53:52.005811,70
2025-07-15 22:53:54.014689,70
2025-07-15 22:53:56.024359,71
2025-07-15 22:53:58.031468,71
2025-07-15 22:54:00.039764,70
2025-07-15 22:54:02.047827,70
2025-07-15 22:54:04.055291,69
2025-07-15 22:54:06.063150,69
2025-07-15 22:54:08.071006,69
2025-07-15 22:54:10.079342,68
2025-07-15 22:54:12.087514,68
2025-07-15 22:54:14.096056,68
2025-07-15 22:54:16.103113,70
2025-07-15 22:54:18.110755,70
2025-07-15 22:54:20.118920,70
2025-07-15 22:54:22.125785,70
2025-07-15 22:54:24.132669,70
2025-07-15 22:54:26.141837,70
2025-07-15 22:54:28.150819,71
2025-07-15 22:54:30.159728,71
2025-07-15 22:54:32.168989,71
2025-07-15 22:54:34.177910,71
2025-07-15 22:54:36.186861,71
2025-07-15 22:54:38.196217,71
2025-07-15 22:54:40.205044,71
2025-07-15 22:54:42.212934,71
2025-07-15 22:54:44.220963,70
2025-07-15 22:54:46.228923,72
2025-07-15 22:54:48.237318,71
2025-07-15 22:54:50.245651,71
2025-07-15 22:54:52.254000,70
2025-07-15 22:54:54.264164,70
2025-07-15 22:54:56.273899,71
2025-07-15 22:54:58.282858,70
2025-07-15 22:55:00.291458,70
2025-07-15 22:55:02.301974,71
2025-07-15 22:55:04.308704,70
2025-07-15 22:55:06.315386,70
2025-07-15 22:55:08.321641,71
2025-07-15 22:55:10.330882,72
2025-07-15 22:55:12.340267,70
2025-07-15 22:55:14.346657,71
2025-07-15 22:55:16.352951,70
2025-07-15 22:55:18.361441,70
2025-07-15 22:55:20.369338,71
2025-07-15 22:55:22.378262,70
2025-07-15 22:55:24.387612,69
2025-07-15 22:55:26.396448,70
2025-07-15 22:55:28.404186,70
2025-07-15 22:55:30.413503,70
2025-07-15 22:55:32.419895,71
2025-07-15 22:55:34.426255,70
2025-07-15 22:55:36.433064,70
2025-07-15 22:55:38.439822,71
2025-07-15 22:55:40.446952,71
2025-07-15 22:55:42.453507,69
2025-07-15 22:55:44.459813,70
2025-07-15 22:55:46.469664,69
2025-07-15 22:55:48.478611,69
2025-07-15 22:55:50.485005,70
2025-07-15 22:55:52.493838,71
2025-07-15 22:55:54.502721,71
2025-07-15 22:55:56.512740,72
2025-07-15 22:55:58.521911,72
2025-07-15 22:56:00.528859,72
2025-07-15 22:56:02.535891,73
2025-07-15 22:56:04.542766,72
2025-07-15 22:56:06.550163,70
2025-07-15 22:56:08.556914,70
2025-07-15 22:56:10.563823,69
2025-07-15 22:56:12.572753,69
2025-07-15 22:56:14.580484,70
2025-07-15 22:56:16.588159,70
2025-07-15 22:56:18.596188,70
2025-07-15 22:56:20.604562,72
2025-07-15 22:56:22.613556,73
2025-07-15 22:56:24.649980,75
2025-07-15 22:56:26.658893,73
2025-07-15 22:56:28.667928,70
2025-07-15 22:56:30.676794,68
2025-07-15 22:56:32.686273,71
2025-07-15 22:56:34.695528,68
2025-07-15 22:56:36.704801,65
2025-07-15 22:56:38.711605,63
2025-07-15 22:56:40.718160,60
2025-07-15 22:56:42.725017,58
2025-07-15 22:56:44.731603,56
2025-07-15 22:56:46.738395,53
2025-07-15 22:56:48.744920,55
2025-07-15 22:56:50.751729,53
2025-07-15 22:56:52.758228,56
2025-07-15 22:56:54.764994,53
2025-07-15 22:56:56.771803,57
2025-07-15 22:56:58.778568,60
2025-07-15 22:57:00.785438,64
2025-07-15 22:57:02.793416,63
2025-07-15 22:57:04.801771,62
2025-07-15 22:57:06.809362,61
2025-07-15 22:57:08.816744,65
2025-07-15 22:57:10.823303,62
2025-07-15 22:57:12.830506,59
2025-07-15 22:57:14.839954,57
2025-07-15 22:57:16.846139,53
2025-07-15 22:57:18.853111,49
2025-07-15 22:57:20.859684,44
2025-07-15 22:57:22.868939,44
2025-07-15 22:57:24.878319,44
2025-07-15 22:57:26.884275,44
2025-07-15 22:57:28.890075,39
2025-07-15 22:57:30.899531,39
2025-07-15 22:57:32.907300,39
2025-07-15 22:57:34.915608,39
2025-07-15 22:57:36.924957,39
