time,speed,step_frequency,heart_rate
2025-07-15 22:36:00.480985,0.053502176,0,74
2025-07-15 22:36:02.543030,0.098258804,0,75
2025-07-15 22:36:04.605474,0.084368816,0,75
2025-07-15 22:36:06.668518,0.404352984,0,76
2025-07-15 22:36:08.731303,0.31123862,0,76
2025-07-15 22:36:10.793475,3.664899056,5,92
2025-07-15 22:36:12.855800,3.866561104,10,99
2025-07-15 22:36:14.918284,3.80431338,20,108
2025-07-15 22:36:16.980717,3.766758968,25,116
2025-07-15 22:36:19.043445,3.537316944,30,124
2025-07-15 22:36:21.105978,3.4210526000000003,36,117
2025-07-15 22:36:23.206164,3.753897868,42,113
2025-07-15 22:36:25.268654,3.785793396,48,112
2025-07-15 22:36:27.331444,3.838266684,54,110
2025-07-15 22:36:29.393602,3.696794584,60,115
2025-07-15 22:36:31.456141,3.820775588,66,118
2025-07-15 22:36:33.518749,3.912861064,72,121
2025-07-15 22:36:35.581689,4.140759756,78,129
2025-07-15 22:36:37.644318,3.815631148,84,132
2025-07-15 22:36:39.706831,3.639176856,90,138
2025-07-15 22:36:41.806519,4.279659636000001,96,147
2025-07-15 22:36:43.869416,3.8969133,102,152
2025-07-15 22:36:45.931919,4.019350972,107,146
2025-07-15 22:36:47.994189,4.0898298,113,145
2025-07-15 22:36:50.094255,4.43193506,119,139
2025-07-15 22:36:52.156697,3.89176886,125,133
2025-07-15 22:36:54.257139,4.122754216,131,137
2025-07-15 22:36:56.319317,3.945271036,137,133
2025-07-15 22:36:58.382155,3.62425798,142,137
2025-07-15 22:37:00.444427,3.3829837439999997,147,137
2025-07-15 22:37:02.507293,3.208072784,153,134
2025-07-15 22:37:04.569710,3.301187148,159,136
2025-07-15 22:37:06.632264,3.630945752,159,132
2025-07-15 22:37:08.694818,3.519311404,160,135
2025-07-15 22:37:10.757325,3.654610176,161,133
2025-07-15 22:37:12.819859,3.23585276,162,129
2025-07-15 22:37:14.882393,3.5316580600000003,163,130
2025-07-15 22:37:16.944961,3.73229122,164,134
2025-07-15 22:37:19.007244,3.610367992,163,136
2025-07-15 22:37:21.070044,3.414364828,162,147
2025-07-15 22:37:23.132279,3.6139691,161,146
2025-07-15 22:37:25.194810,3.681361264,161,149
2025-07-15 22:37:27.257297,3.651523512,161,149
2025-07-15 22:37:29.320213,3.6000791120000004,161,149
2025-07-15 22:37:31.382972,3.62940242,160,150
2025-07-15 22:37:33.445440,3.141195064,160,149
2025-07-15 22:37:35.507665,2.9981796320000003,159,147
2025-07-15 22:37:37.570103,3.1123862,159,146
2025-07-15 22:37:39.632959,3.567154696,158,147
2025-07-15 22:37:41.695581,3.1772061440000003,159,146
2025-07-15 22:37:43.758088,3.245627196,158,146
2025-07-15 22:37:45.820322,3.424653708,158,146
2025-07-15 22:37:47.883309,3.65769684,158,147
2025-07-15 22:37:49.945705,3.185437248,158,148
2025-07-15 22:37:52.007420,3.2718638400000004,157,149
2025-07-15 22:37:54.071662,2.705460996,158,143
2025-07-15 22:37:56.132934,1.151325672,158,137
2025-07-15 22:37:58.195557,0.634823896,157,136
2025-07-15 22:38:00.258084,0.677008304,156,109
2025-07-15 22:38:02.320834,0.312267508,151,105
2025-07-15 22:38:04.383208,0.194974276,145,110
2025-07-15 22:38:06.445992,0.483062916,139,115
2025-07-15 22:38:08.508176,0.39097744,136,140
2025-07-15 22:38:10.570882,0.02829442,130,144
2025-07-15 22:38:12.633290,0.04887218,124,143
2025-07-15 22:38:14.696273,0.019034428,119,142
2025-07-15 22:38:16.758398,0.06687772,114,140
2025-07-15 22:38:18.821335,0.015947764,109,138
2025-07-15 22:38:20.883969,0.021606648,103,137
2025-07-15 22:38:22.946363,0.025207756,97,135
2025-07-15 22:38:25.008538,0.01800554,91,135
2025-07-15 22:38:27.071287,0.019548872,91,134
2025-07-15 22:38:29.133953,0.0375544119999999,92,131
2025-07-15 22:38:31.196643,0.04115552,92,130
2025-07-15 22:38:33.259146,0.017491096,93,129
2025-07-15 22:38:35.321679,0.0113177679999999,93,127
2025-07-15 22:38:37.384187,0.051958844,94,127
2025-07-15 22:38:39.446745,0.00257222,94,125
2025-07-15 22:38:41.509324,0.04115552,90,125
2025-07-15 22:38:43.571635,0.058646616,89,124
2025-07-15 22:38:45.634362,0.071507716,83,123
2025-07-15 22:38:47.696915,0.010803324,78,121
2025-07-15 22:38:49.759460,0.040641076,74,121
2025-07-15 22:38:51.822068,0.012346656,72,119
2025-07-15 22:38:53.884581,0.043213296,67,118
2025-07-15 22:38:55.947225,0.0128611,62,117
2025-07-15 22:38:58.009689,0.008745548,62,115
2025-07-15 22:39:00.072190,0.034467748,62,113
2025-07-15 22:39:02.134844,0.013375544,62,112
2025-07-15 22:39:04.196921,0.03343886,64,110
2025-07-15 22:39:06.259539,0.039097744,69,109
2025-07-15 22:39:08.322456,0.048357736,69,107
2025-07-15 22:39:10.384634,0.070993272,71,110
2025-07-15 22:39:12.447217,0.04887218,73,88
2025-07-15 22:39:14.509971,0.013889988,75,82
2025-07-15 22:39:16.572367,0.04629996,77,71
2025-07-15 22:39:18.635119,0.067906608,79,54
2025-07-15 22:39:20.697776,0.104432132,81,54
2025-07-15 22:39:22.759917,0.13375544,80,54
2025-07-15 22:39:24.822392,0.076652156,79,54
2025-07-15 22:39:26.922661,0.157934308,75,54
2025-07-15 22:39:28.985353,0.032409972,69,54
2025-07-15 22:39:31.085152,0.055045508,65,53
2025-07-15 22:39:33.147655,0.067906608,61,58
2025-07-15 22:39:35.247792,0.067906608,57,61
2025-07-15 22:39:37.310339,0.034467748,53,58
2025-07-15 22:39:39.410381,0.0375544119999999,52,54
2025-07-15 22:39:41.473209,0.013889988,47,56
2025-07-15 22:39:43.572930,0.0375544119999999,47,57
2025-07-15 22:39:45.635465,0.034982192,47,62
2025-07-15 22:39:47.735594,0.043213296,46,79
2025-07-15 22:39:49.798158,0.067906608,46,98
2025-07-15 22:39:51.898263,0.0303521959999999,46,88
2025-07-15 22:39:53.974526,0.27522754,46,88
2025-07-15 22:39:56.061020,0.060189948,46,88
2025-07-15 22:39:58.123248,0.0514444,46,88
2025-07-15 22:40:00.223353,0.098258804,41,88
2025-07-15 22:40:02.286023,0.04372774,36,88
2025-07-15 22:40:04.386086,0.043213296,36,88
2025-07-15 22:40:06.448386,0.0303521959999999,34,88
2025-07-15 22:40:08.549140,0.027779976,32,44
2025-07-15 22:40:10.611102,0.073051048,32,40
2025-07-15 22:40:12.711188,0.093114364,30,40
2025-07-15 22:40:14.787559,0.012346656,28,40
2025-07-15 22:40:16.836689,0.02057776,26,40
2025-07-15 22:40:18.899135,0.024178868,21,40
2025-07-15 22:40:20.999147,0.0303521959999999,16,40
2025-07-15 22:40:23.061732,0.062247724,19,40
2025-07-15 22:40:25.161491,0.038068856,19,40
2025-07-15 22:40:27.224305,0.066363276,22,40
2025-07-15 22:40:29.324491,0.076137712,20,40
2025-07-15 22:40:31.386775,0.03343886,18,40
2025-07-15 22:40:33.486718,0.046814404,22,40
2025-07-15 22:40:35.549212,0.026751088,27,40
2025-07-15 22:40:37.649227,0.081796596,32,40
2025-07-15 22:40:39.711722,0.024178868,37,46
2025-07-15 22:40:41.812131,0.075623268,42,125
2025-07-15 22:40:43.874554,0.06173328,46,125
2025-07-15 22:40:45.974728,0.067906608,54,115
2025-07-15 22:40:48.037525,0.018519984,59,100
2025-07-15 22:40:50.137565,0.031381084,64,100
2025-07-15 22:40:52.199909,0.00514444,69,100
2025-07-15 22:40:54.300075,0.022121092,69,78
2025-07-15 22:40:56.362459,0.03601108,69,41
2025-07-15 22:40:58.462369,0.012346656,70,57
2025-07-15 22:41:00.524878,0.028808864,70,64
2025-07-15 22:41:02.625153,0.013375544,70,65
2025-07-15 22:41:04.687551,0.027779976,71,87
2025-07-15 22:41:06.787735,0.080767708,69,87
2025-07-15 22:41:08.850331,0.09259992,69,87
2025-07-15 22:41:10.950390,0.041669964,70,87
2025-07-15 22:41:13.013017,0.104946576,70,86
2025-07-15 22:41:15.112814,0.083854372,70,82
2025-07-15 22:41:17.175361,0.047843292,70,77
2025-07-15 22:41:19.275613,0.0514444,66,74
2025-07-15 22:41:21.338246,0.050929956,67,74
2025-07-15 22:41:23.438065,0.054531064,62,76
2025-07-15 22:41:25.500577,0.012346656,62,80
2025-07-15 22:41:27.600685,0.036525524,64,85
2025-07-15 22:41:29.663590,0.08745548,60,87
2025-07-15 22:41:31.763468,0.05658884,56,88
2025-07-15 22:41:33.826020,0.0113177679999999,53,88
2025-07-15 22:41:35.888424,0.049386624,50,87
2025-07-15 22:41:37.950919,0.008231104,47,93
2025-07-15 22:41:40.013639,0.102374356,42,93
2025-07-15 22:41:42.076041,0.107518796,37,92
2025-07-15 22:41:44.139082,0.073565492,34,92
2025-07-15 22:41:46.201116,0.047843292,27,87
2025-07-15 22:41:48.263913,0.224812028,22,88
2025-07-15 22:41:50.326261,0.063276612,28,90
2025-07-15 22:41:52.390355,0.194974276,28,92
2025-07-15 22:41:54.451395,0.052473288,28,93
2025-07-15 22:41:56.514059,0.052473288,30,93
2025-07-15 22:41:58.576472,0.016462208,30,93
2025-07-15 22:42:00.639472,0.11060546,29,93
2025-07-15 22:42:02.701924,0.10546102,29,93
2025-07-15 22:42:04.764636,0.129125444,29,91
2025-07-15 22:42:06.827476,0.098258804,28,90
2025-07-15 22:42:08.889691,0.01543332,29,89
2025-07-15 22:42:10.952211,0.698100508,31,90
2025-07-15 22:42:13.014785,1.2346656,33,90
2025-07-15 22:42:15.077347,2.189988108,37,100
2025-07-15 22:42:17.139520,2.214166976,41,99
2025-07-15 22:42:19.202058,2.523862264,46,111
2025-07-15 22:42:21.264656,2.6344677240000003,51,122
2025-07-15 22:42:23.327586,2.622121068,54,130
2025-07-15 22:42:25.389802,2.467787868,57,138
2025-07-15 22:42:27.452303,2.487851184,61,144
2025-07-15 22:42:29.515011,2.282073584,64,133
2025-07-15 22:42:31.577383,2.704432108,67,125
2025-07-15 22:42:33.640354,2.490423404,70,125
2025-07-15 22:42:35.702540,2.847961984,74,117
2025-07-15 22:42:37.765369,2.588167764,79,117
2025-07-15 22:42:39.827975,1.152869004,82,116
2025-07-15 22:42:41.890473,2.848476428,85,116
2025-07-15 22:42:43.953099,2.78056982,89,107
2025-07-15 22:42:46.015870,2.3113968920000003,94,107
2025-07-15 22:42:48.115465,2.755876508,93,109
2025-07-15 22:42:50.178218,2.547012244,98,111
2025-07-15 22:42:52.277994,1.906529464,102,124
2025-07-15 22:42:54.340480,2.435377896,105,126
2025-07-15 22:42:56.403610,1.918361676,110,125
2025-07-15 22:42:58.466067,1.914760568,115,127
2025-07-15 22:43:00.566241,2.781084264,125,128
2025-07-15 22:43:02.628420,2.8886030600000003,130,132
2025-07-15 22:43:04.691159,2.872655296,134,132
2025-07-15 22:43:06.753432,3.104155096,138,133
2025-07-15 22:43:08.815856,2.745587628,141,134
2025-07-15 22:43:10.878289,3.026474052,141,134
2025-07-15 22:43:12.941060,2.740957632,141,136
2025-07-15 22:43:15.003848,2.926157472,141,135
2025-07-15 22:43:17.066134,3.209616116,141,140
2025-07-15 22:43:19.128988,2.7779976000000004,141,135
2025-07-15 22:43:21.191705,2.502255616,141,138
2025-07-15 22:43:23.253746,3.0146418400000004,142,136
2025-07-15 22:43:25.316835,2.480134524,142,138
2025-07-15 22:43:27.379247,2.949307452,142,137
2025-07-15 22:43:29.441499,2.684368792,142,135
2025-07-15 22:43:31.504448,2.5135733840000003,142,134
2025-07-15 22:43:33.566905,2.982746312,143,133
2025-07-15 22:43:35.630403,2.27384248,143,135
2025-07-15 22:43:37.691636,2.68539768,143,134
2025-07-15 22:43:39.754558,2.6169766279999997,143,136
2025-07-15 22:43:41.817107,2.1853581120000003,143,135
2025-07-15 22:43:43.879360,2.758963172,143,138
2025-07-15 22:43:45.941848,2.733755416,143,136
2025-07-15 22:43:48.004553,2.5999999760000003,143,138
2025-07-15 22:43:50.067320,2.94261968,143,139
2025-07-15 22:43:52.129583,2.299050236,143,138
2025-07-15 22:43:54.192136,2.757934284,143,138
2025-07-15 22:43:56.254798,2.39730904,143,142
2025-07-15 22:43:58.317615,2.480134524,143,140
2025-07-15 22:44:00.379940,1.811871768,143,142
2025-07-15 22:44:02.442521,2.3124257800000003,143,143
2025-07-15 22:44:04.505268,1.879263932,142,142
2025-07-15 22:44:06.567723,2.637554388,142,139
2025-07-15 22:44:08.630227,2.032568244,142,140
2025-07-15 22:44:10.692522,2.553700016,143,141
2025-07-15 22:44:12.755465,2.113335952,143,140
2025-07-15 22:44:14.818059,2.7178076520000003,143,144
2025-07-15 22:44:16.917395,2.135971488,143,147
2025-07-15 22:44:18.980566,2.289790244,142,145
2025-07-15 22:44:21.043347,2.056232668,142,145
2025-07-15 22:44:23.105419,2.539810028,142,145
2025-07-15 22:44:25.168279,1.907043908,142,144
2025-07-15 22:44:27.230638,2.596398868,142,143
2025-07-15 22:44:29.293444,2.298535792,141,143
2025-07-15 22:44:31.355592,2.4302334560000003,141,142
2025-07-15 22:44:33.418573,2.74455874,141,142
2025-07-15 22:44:35.480768,2.418915688,141,142
2025-07-15 22:44:37.543850,2.3921646,141,141
2025-07-15 22:44:39.605849,2.3252868799999997,141,139
2025-07-15 22:44:41.668793,1.483656496,141,140
2025-07-15 22:44:43.731389,1.142580124,141,139
2025-07-15 22:44:45.793906,0.773209332,142,139
2025-07-15 22:44:47.856707,0.328729716,143,138
2025-07-15 22:44:49.994112,0.082825484,138,132
2025-07-15 22:44:52.056522,0.0128611,133,108
2025-07-15 22:44:54.118898,0.025207756,128,104
2025-07-15 22:44:56.181810,0.0375544119999999,128,71
2025-07-15 22:44:58.244204,0.06687772,125,56
2025-07-15 22:45:00.306697,0.035496636,121,54
2025-07-15 22:45:02.369165,0.03601108,116,63
2025-07-15 22:45:04.431541,0.044756628,111,61
2025-07-15 22:45:06.494475,0.042184408,106,58
2025-07-15 22:45:08.557182,0.029323308,101,49
2025-07-15 22:45:10.619601,0.043213296,98,47
2025-07-15 22:45:12.682143,0.021606648,93,54
2025-07-15 22:45:14.744333,0.0375544119999999,90,63
2025-07-15 22:45:16.807191,0.062247724,90,67
2025-07-15 22:45:18.869924,0.0375544119999999,85,63
2025-07-15 22:45:20.932022,0.045785516,82,43
2025-07-15 22:45:22.994941,0.0257222,79,40
2025-07-15 22:45:25.057542,0.034467748,76,41
2025-07-15 22:45:27.119994,0.011832212,76,41
2025-07-15 22:45:29.182540,0.014404432,76,46
2025-07-15 22:45:31.244725,0.003086664,71,44
2025-07-15 22:45:33.307368,0.011832212,66,44
2025-07-15 22:45:35.369883,0.034467748,66,50
2025-07-15 22:45:37.432826,0.02314998,66,44
2025-07-15 22:45:39.495414,0.0128611,66,48
2025-07-15 22:45:41.557847,0.051958844,65,50
2025-07-15 22:45:43.620527,0.011832212,64,46
2025-07-15 22:45:45.683025,0.027265532,69,47
2025-07-15 22:45:47.745563,0.019034428,74,45
2025-07-15 22:45:49.845374,0.0257222,79,40
2025-07-15 22:45:51.907984,0.048357736,79,52
2025-07-15 22:45:53.970472,0.029837752,82,97
2025-07-15 22:45:56.033449,0.047328848,86,68
2025-07-15 22:45:58.095430,0.029323308,91,53
2025-07-15 22:46:00.158149,0.034982192,96,55
2025-07-15 22:46:02.220836,0.0113177679999999,100,52
2025-07-15 22:46:04.283322,0.0529877319999999,105,49
2025-07-15 22:46:06.345676,0.011832212,108,43
2025-07-15 22:46:08.408228,0.040641076,108,46
2025-07-15 22:46:10.470890,0.058646616,106,46
2025-07-15 22:46:12.533739,0.185714284,107,66
2025-07-15 22:46:14.596298,0.062762168,107,58
2025-07-15 22:46:16.658851,0.036525524,111,68
2025-07-15 22:46:18.721038,0.217095368,115,78
2025-07-15 22:46:20.783963,0.03343886,118,75
2025-07-15 22:46:22.846522,0.128096556,118,90
2025-07-15 22:46:24.946266,0.19034428,118,79
2025-07-15 22:46:27.008740,0.190858724,118,71
2025-07-15 22:46:29.071665,0.104432132,123,69
2025-07-15 22:46:31.134064,0.05916106,128,56
2025-07-15 22:46:33.196694,0.069964384,129,60
2025-07-15 22:46:35.259138,0.096201028,129,69
2025-07-15 22:46:37.321699,0.06173328,124,64
2025-07-15 22:46:39.384117,0.036525524,119,67
